,Security Name,Ticker,Sector Name
500422,TRANSCHEM LTD.-$,TRANSCHEM,Healthcare
500425,AMBUJA CEMENTS LTD.,AMBUJACEM,Construction Materials
500426,UTL Industries Limited,UTLINDS,Realty
500429,UNIPHOS ENTERPRISES LTD.,UNIPHOS,Chemicals
500439,VARDHMAN HOLDINGS LTD.,VHL,Financial Services
500440,HINDALCO INDUSTRIES LTD.,HINDALCO,Metals & Mining
500444,WEST COAST PAPER MILLS LTD.,WSTCSTPAPR,Forest Materials
500449,HINDUSTAN ORGANIC CHEMICALS LTD.,HOCL,Chemicals
500450,MPIL CORPORATION LTD.,MPILCORPL,Financial Services
500456,PASUPATI ACRYLON LTD.,PASUPTAC,Chemicals
500458,Kore Foods Ltd,KORE,Fast Moving Consumer Goods
500459,PROCTER & GAMBLE HYGIENE & HEALTH CARE LTD.,PGHH,Fast Moving Consumer Goods
500460,MUKAND LTD.,MUKANDLTD,Metals & Mining
500463,Black Box Ltd,BBOX,Information Technology
500464,UCAL FUEL SYSTEMS LTD.,UCALFUEL,Automobile and Auto Components
500467,HARRISONS MALAYALAM LTD.,HARRMALAYA,Fast Moving Consumer Goods
500469,FEDERAL BANK LTD.,FEDERALBNK,Financial Services
500470,TATA STEEL LTD.,TATASTEEL,Metals & Mining
500472,SKF India Ltd,SKFINDIA,Capital Goods
500477,ASHOK LEYLAND LTD.,ASHOKLEY,Capital Goods
500480,CUMMINS INDIA LTD.,CUMMINSIND,Capital Goods
500483,TATA COMMUNICATIONS LTD.,TATACOMM,Telecommunication
500488,ABBOTT INDIA LTD.,ABBOTINDIA,Healthcare
500490,BAJAJ HOLDINGS & INVESTMENT LTD.,BAJAJHLDNG,Financial Services
500493,BHARAT FORGE LTD.,BHARATFORG,Capital Goods
500495,Escorts Kubota Ltd,ESCORTS,Capital Goods
500500,HINDUSTAN MOTORS LTD.,HINDMOTORS,Automobile and Auto Components
500510,LARSEN & TOUBRO LTD.,LT,Construction
500520,MAHINDRA & MAHINDRA LTD.,M&M,Automobile and Auto Components
500530,BOSCH LTD.,BOSCHLTD,Automobile and Auto Components
500540,PREMIER LTD.,PREMIER,Capital Goods
500547,BHARAT PETROLEUM CORPORATION LTD.,BPCL,"Oil, Gas & Consumable Fuels"
500550,SIEMENS LTD.,SIEMENS,Capital Goods
500570,TATA MOTORS LTD.,TATAMOTORS,Automobile and Auto Components
500575,VOLTAS LTD.,VOLTAS,Consumer Durables
500620,GREAT EASTERN SHIPPING CO.LTD.,GESHIP,Services
500645,DEEPAK FERTILISERS & PETROCHEMICALS CORPORATION LTD.,DEEPAKFERT,Chemicals
500650,EXCEL INDUSTRIES LTD.,EXCELINDUS,Chemicals
500655,Garware Hi-Tech Films Ltd,GRWRHITECH,Capital Goods
500660,GLAXOSMITHKLINE PHARMACEUTICALS LTD.,GLAXO,Healthcare
500670,GUJARAT NARMADA VALLEY FERTILIZERS & CHEMICALS LTD.,GNFC,Chemicals
500672,NOVARTIS INDIA LTD.,NOVARTIND,Healthcare
500674,Sanofi India Ltd,SANOFI,Healthcare
500680,PFIZER LTD.,PFIZER,Healthcare
500690,GUJARAT STATE FERTILIZERS & CHEMICALS LTD.,GSFC,Chemicals
500696,HINDUSTAN UNILEVER LTD.,HINDUNILVR,Fast Moving Consumer Goods
500710,Akzo Nobel India Limited,AKZOINDIA,Consumer Durables
500730,NOCIL LTD.,NOCIL,Chemicals
500770,TATA CHEMICALS LTD.,TATACHEM,Chemicals
500777,TAMILNADU PETROPRODUCTS LTD.,TNPETRO,Chemicals
500780,Zuari Industries Ltd,ZUARIIND,Fast Moving Consumer Goods
500790,NESTLE INDIA LTD.,NESTLEIND,Fast Moving Consumer Goods
500800,Tata Consumer Products Ltd,TATACONSUM,Fast Moving Consumer Goods
500820,ASIAN PAINTS LTD.,ASIANPAINT,Consumer Durables
500825,BRITANNIA INDUSTRIES LTD.,BRITANNIA,Fast Moving Consumer Goods
